subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S006,3,Individualized HRTF,2.125,0.25,0.125,0.32735893438633035,-0.9030899869919435
S006,3,Real speakers,3.5,0.5773502691896257,0.28867513459481287,0.5440680443502757,-0.5395906230238124
S006,3,Non-individualized HRTF,3,0.816496580927726,0.408248290463863,0.47712125471966244,-0.3890756251918218
S006,4,Incongruous room,0.15625,0.11967838846954226,0.05983919423477113,-0.8061799739838872,-1.2230142631006247
S006,4,Closed headphones,0.5,0,0,-0.3010299956639812,-Inf
S006,4,Individualized HRTF,3.75,0.5,0.25,0.5740312677277188,-0.6020599913279624
S006,4,Real speakers,3.75,1.0408329997330663,0.5204164998665332,0.5740312677277188,-0.2836489425343752
S006,4,Non-individualized HRTF,4.25,0.5,0.25,0.6283889300503115,-0.6020599913279624
S006,5,Incongruous room,0.3125,0.125,0.0625,-0.5051499783199059,-1.2041199826559248
S006,5,Closed headphones,0.5,0.3535533905932738,0.1767766952966369,-0.3010299956639812,-0.7525749891599529
S006,5,Individualized HRTF,4.25,1.2583057392117916,0.6291528696058958,0.6283889300503115,-0.20124381821137916
S006,5,Real speakers,4,0.7071067811865476,0.3535533905932738,0.6020599913279624,-0.45154499349597177
S006,5,Non-individualized HRTF,4.5,0.5773502691896257,0.28867513459481287,0.6532125137753437,-0.5395906230238124
S006,6,Incongruous room,0.5,0,0,-0.3010299956639812,-Inf
S006,6,Closed headphones,0.875,0.25,0.125,-0.057991946977686754,-0.9030899869919435
S006,6,Individualized HRTF,5,0,0,0.6989700043360189,-Inf
S006,6,Real speakers,4.75,0.5,0.25,0.6766936096248666,-0.6020599913279624
S006,6,Non-individualized HRTF,4.375,0.75,0.375,0.640978057358332,-0.42596873227228116
S007,1,Incongruous room,2.5,1,0.5,0.3979400086720376,-0.3010299956639812
S007,1,Closed headphones,4.25,2.8722813232690143,1.4361406616345072,0.6283889300503115,0.15719697861098134
S007,1,Individualized HRTF,0.65,0.17320508075688776,0.08660254037844388,-0.18708664335714442,-1.06246936830415
S007,1,Real speakers,1.425,0.43493294502332963,0.21746647251166482,0.153814864344529,-0.6626076900912322
S007,1,Non-individualized HRTF,0.75,0.20816659994661327,0.10408329997330663,-0.12493873660829995,-0.9826189468703941
S007,2,Incongruous room,4.25,0.9574271077563381,0.47871355387816905,0.6283889300503115,-0.31992427610868107
S007,2,Closed headphones,5.75,2.6299556396765835,1.3149778198382918,0.7596678446896304,0.11891842750024337
S007,2,Individualized HRTF,2.075,0.5057996968497839,0.25289984842489194,0.31701810104811157,-0.5970514309492004
S007,2,Real speakers,2.7,0.4760952285695233,0.23804761428476165,0.43136376415898736,-0.6233361666706942
S007,2,Non-individualized HRTF,2.25,0.8660254037844386,0.4330127018922193,0.3521825181113625,-0.3634993639681312
S007,3,Incongruous room,4.25,1.5,0.75,0.6283889300503115,-0.12493873660829995
S007,3,Closed headphones,4.25,1.5,0.75,0.6283889300503115,-0.12493873660829995
S007,3,Individualized HRTF,3.25,0.5,0.25,0.5118833609788743,-0.6020599913279624
S007,3,Real speakers,3.5,0,0,0.5440680443502757,-Inf
S007,3,Non-individualized HRTF,3.825,1.1354147553500733,0.5677073776750367,0.5826314394896365,-0.24587546183810982
S007,4,Incongruous room,6.5,2.3804761428476167,1.1902380714238083,0.8129133566428556,0.07563383766532455
S007,4,Closed headphones,7,2.581988897471611,1.2909944487358056,0.8450980400142568,0.11092437480817817
S007,4,Individualized HRTF,4.125,0.6291528696058958,0.3145764348029479,0.6154239528859439,-0.5022738138753603
S007,4,Real speakers,3.625,0.47871355387816905,0.23935677693908453,0.5593080109070125,-0.6209542717726623
S007,4,Non-individualized HRTF,4,0.816496580927726,0.408248290463863,0.6020599913279624,-0.3890756251918218
